LastUpdated,Postal_Code,City,NO2,O3,PM10,PM2.5,Latitude,Longitude,Country.Label,Department,Region,Altitude Moyenne,Superficie,p16_pop,p17_pop,p18_pop,p19_pop,p20_pop,p21_pop,p24_pop
2018-04-25 02:00:00,18000,Bourges,7.23,71.08,25.7,7.4,47.0826499994647,2.404492,France,Cher,Centre-Val de Loire,145.0,6853.0,65555.0,64551,64668.0,64541.0,64362.0,63702.0,64541.0
2024-09-16 08:00:00,18000,Bourges,38.4,17.75991021324355,10.1,7.4,47.07504299984,2.40718299994408,France,Cher,Centre-Val de Loire,145.0,6853.0,65555.0,64551,64668.0,64541.0,64362.0,63702.0,64541.0
2024-09-18 23:00:00,18000,Bourges,15.6,17.7,12.7,7.4,47.0827800000004,2.4053329995665,France,Cher,Centre-Val de Loire,145.0,6853.0,65555.0,64551,64668.0,64541.0,64362.0,63702.0,64541.0
2018-04-25 02:00:00,18210,Verneuil,2.4,38.93,,7.95,46.8147189994643,2.610806,France,Cher,Centre-Val de Loire,172.0,1140.0,34.0,34,35.0,35.0,35.0,35.0,273.0
2024-01-29 18:00:00,18210,Verneuil,2.4,52.1,,3.6,46.8148188300394,2.61008200746779,France,Cher,Centre-Val de Loire,172.0,1140.0,34.0,34,35.0,35.0,35.0,35.0,273.0
2024-09-18 23:00:00,18210,Verneuil,2.2,37.5,,3.8,46.8146930000512,2.61006899986248,France,Cher,Centre-Val de Loire,172.0,1140.0,34.0,34,35.0,35.0,35.0,35.0,273.0
2019-06-11 13:00:00,19000,Tulle,24.0,5.0,3.0,2.0,45.2636139994632,1.763889,France,Corrèze,Nouvelle-Aquitaine,315.0,2469.0,14453.0,14836,14705.0,14812.0,14314.0,13992.0,122.0
2024-03-04 08:00:00,19000,Tulle,9.5,5.0,3.0,2.0,45.26,1.76,France,Corrèze,Nouvelle-Aquitaine,315.0,2469.0,14453.0,14836,14705.0,14812.0,14314.0,13992.0,122.0
2024-09-16 08:00:00,19000,Tulle,18.3,21.7,8.0,2.0,45.2626650002923,1.76275199968717,France,Corrèze,Nouvelle-Aquitaine,315.0,2469.0,14453.0,14836,14705.0,14812.0,14314.0,13992.0,122.0
2024-09-18 23:00:00,19100,Brive-la-Gaillarde,14.2,35.1,8.6,,45.1587370002402,1.53725900002356,France,Corrèze,Nouvelle-Aquitaine,167.0,4842.0,47004.0,46916,46630.0,46330.0,45910.0,46599.0,46330.0
2024-02-01 00:00:00,20000,Ajaccio,7.5,36.0,11.6,,41.949223,8.757583,France,Corse-du-Sud,Corse,136.0,8314.0,69075.0,70659,70817.0,71361.0,72647.0,73822.0,71361.0
2024-09-18 23:00:00,20000,Ajaccio,4.2,38.3,11.6,,41.9476849997293,8.79615899985025,France,Corse-du-Sud,Corse,136.0,8314.0,69075.0,70659,70817.0,71361.0,72647.0,73822.0,71361.0
2018-02-03 19:00:00,20167,Sarrola-Carcopino,8.0,58.7,14.2,,41.964411839407,8.8202792970315,France,Corse-du-Sud,Corse,241.0,2700.0,2846.0,3267,3268.0,3289.0,3309.0,3278.0,3229.0
2024-02-01 00:00:00,20167,Sarrola-Carcopino,3.9,18.4,21.2,,41.958027,8.820278,France,Corse-du-Sud,Corse,241.0,2700.0,2846.0,3267,3268.0,3289.0,3309.0,3278.0,3229.0
2024-09-18 23:00:00,20200,Bastia,12.9,,15.0,,42.7028300002127,9.44638899986363,France,Haute-Corse,Corse,260.0,1977.0,44829.0,45715,48044.0,48503.0,48296.0,48768.0,2913.0
2024-09-16 08:00:00,20231,Venaco,0.8,70.1,5.1,1.3,42.2360269996814,9.19002799967727,France,Haute-Corse,Corse,1222.0,5362.0,712.0,711,712.0,713.0,690.0,666.0,713.0
