Nom de la région,Code département,Nom de la commune,population_2016,Code INSEE
Nouvelle-Aquitaine,64,La Bastide-Clairence,1019.0,64289.0
Occitanie,66,Saint-Cyprien,10781.0,66171.0
Occitanie,66,Villefranche-de-Conflent,218.0,66223.0
Grand Est,67,Saint-Nabor,501.0,67428.0
Bourgogne-Franche-Comté,71,Crissey,2570.0,71154.0
Grand Est,57,Neufgrange,1444.0,57499.0
Hauts-de-France,59,Thivencelle,854.0,59591.0
Normandie,61,Belforêt-en-Perche,1717.0,61196.0
Auvergne-Rhône-Alpes,63,Antoingt,396.0,63005.0
Nouvelle-Aquitaine,64,Cambo-les-Bains,6763.0,64160.0
Occitanie,66,Le Barcarès,5957.0,66017.0
Grand Est,67,Asswiller,285.0,67013.0
Grand Est,67,Tieffenbach,267.0,67491.0
